member_number,Recency,Frequency,Monetary,R,F,M,RFM_Level
1000,110.8,5,53.8,4,3,2,ACTIVE
1001,138.2,5,100.0,3,3,3,REGULARS
1002,172.25,4,70.31,2,2,2,REGULARS
1003,177.5,4,60.65,2,2,2,REGULARS
1004,86.75,8,204.97,4,4,4,ACTIVE
1005,360.0,2,24.0,1,1,1,NEW
1006,157.5,4,182.94,2,2,4,REGULARS
1008,81.0,2,155.91,4,1,4,REGULARS
1009,176.25,4,48.76,2,2,2,REGULARS
1010,133.0,5,89.36,3,3,3,REGULARS
1011,227.66666666666663,3,89.8,1,2,3,REGULARS
1012,139.0,4,75.87,3,2,3,REGULARS
1013,89.0,8,186.76,4,4,4,ACTIVE
1014,120.5,4,75.1,3,2,3,REGULARS
1015,183.33333333333331,3,71.4,2,2,2,REGULARS
1016,62.75,4,104.7,4,2,3,ACTIVE
1017,135.4,5,75.49,3,3,3,REGULARS
1018,156.0,4,94.6,2,2,3,REGULARS
1019,385.0,1,73.5,1,1,2,REGULARS
1020,176.33333333333334,3,73.84,2,2,2,REGULARS
1021,193.0,3,53.4,2,2,2,REGULARS
1022,225.33333333333331,3,117.5,1,2,4,REGULARS
1023,98.66666666666669,6,182.0,4,4,4,ACTIVE
1024,142.0,1,58.21,3,1,2,REGULARS
1025,230.66666666666663,3,42.62,1,2,1,REGULARS
1026,132.4,5,117.35,3,3,4,REGULARS
1027,148.75,4,129.7,3,2,4,REGULARS
1028,126.8,5,107.6,3,3,3,REGULARS
1029,291.0,1,16.35,1,1,1,NEW
1031,222.0,3,64.6,1,2,2,REGULARS
1032,140.6,5,96.46,3,3,3,REGULARS
1033,133.6,5,91.31,3,3,3,REGULARS
1034,224.66666666666663,3,83.05,1,2,3,REGULARS
1035,110.6,5,69.9,4,3,2,ACTIVE
1036,709.0,1,10.8,1,1,1,NEW
1037,224.66666666666663,3,58.45,1,2,2,REGULARS
1038,116.83333333333331,6,214.2,3,4,4,REGULARS
1039,213.0,1,2.7,2,1,1,REGULARS
1040,141.0,4,48.11,3,2,2,REGULARS
1041,141.25,4,113.75,3,2,3,REGULARS
1042,107.0,3,35.75,4,2,1,ACTIVE
1043,218.66666666666663,3,94.7,1,2,3,REGULARS
1044,162.0,2,25.4,2,1,1,REGULARS
1045,239.0,3,103.3,1,2,3,REGULARS
1046,97.5,2,16.7,4,1,1,REGULARS
1047,126.0,3,51.6,3,2,2,REGULARS
1048,42.5,2,23.8,4,1,1,REGULARS
1049,180.5,4,62.3,2,2,2,REGULARS
1050,113.83333333333331,6,124.6,3,4,4,REGULARS
1051,119.33333333333331,6,207.37,3,4,4,REGULARS
1052,72.5,10,271.9,4,4,4,ACTIVE
1053,101.5,6,80.7,4,4,3,ACTIVE
1054,178.25,4,43.9,2,2,2,REGULARS
1055,256.0,2,75.7,1,1,3,REGULARS
1056,154.0,3,58.2,2,2,2,REGULARS
1057,241.0,3,32.15,1,2,1,REGULARS
1058,146.25,4,38.9,3,2,1,REGULARS
1059,283.5,2,16.8,1,1,1,NEW
1061,130.6,5,149.11,3,3,4,REGULARS
1062,140.6,5,129.32,3,3,4,REGULARS
1063,285.5,2,8.1,1,1,1,NEW
1064,206.0,3,59.1,2,2,2,REGULARS
1065,119.16666666666669,6,225.42,3,4,4,REGULARS
1066,232.33333333333331,3,19.92,1,2,1,REGULARS
1067,100.0,3,112.31,4,2,3,ACTIVE
1068,331.0,2,20.7,1,1,1,NEW
