member_number,orderId,order_date,total,productName,items,Days
1808,2987,2015-07-21,23.410596954,tropical fruit,3,162.0
4119,11595,2015-02-12,23.410596954,tropical fruit,3,62.0
3962,11049,2015-09-18,15.607064636,tropical fruit,2,2.0
1088,318,2015-11-30,15.607064636,tropical fruit,2,30.0
1863,3194,2015-08-04,7.803532318,tropical fruit,1,148.0
4829,14367,2015-11-03,15.607064636,tropical fruit,2,57.0
4581,13391,2015-04-03,7.803532318,tropical fruit,1,271.0
3635,9813,2015-09-04,7.803532318,tropical fruit,1,100.0
1279,1010,2015-09-06,23.410596954,tropical fruit,3,0.0
3361,8786,2015-03-05,7.803532318,tropical fruit,1,0.0
3567,9551,2015-10-04,23.410596954,tropical fruit,3,87.0
4509,13122,2015-11-29,23.410596954,tropical fruit,3,31.0
2818,6805,2015-11-07,23.410596954,tropical fruit,3,4.0
1033,124,2015-04-22,15.607064636,tropical fruit,2,54.0
4222,12013,2015-05-27,7.803532318,tropical fruit,1,85.0
1952,3561,2015-03-23,7.803532318,tropical fruit,1,245.0
1649,2379,2015-06-25,15.607064636,tropical fruit,2,5.0
4459,12935,2015-04-26,23.410596954,tropical fruit,3,236.0
3855,10650,2015-03-09,7.803532318,tropical fruit,1,52.0
4554,13288,2015-07-16,7.803532318,tropical fruit,1,42.0
2702,6343,2015-04-08,15.607064636,tropical fruit,2,49.0
4002,11179,2015-09-03,7.803532318,tropical fruit,1,118.0
3543,9454,2015-03-18,23.410596954,tropical fruit,3,60.0
3398,8902,2015-03-11,23.410596954,tropical fruit,3,294.0
3960,11038,2015-03-25,7.803532318,tropical fruit,1,87.0
4723,13965,2015-05-22,15.607064636,tropical fruit,2,222.0
1483,1768,2015-04-01,23.410596954,tropical fruit,3,24.0
2694,6312,2015-11-21,23.410596954,tropical fruit,3,0.0
3806,10465,2015-08-28,23.410596954,tropical fruit,3,124.0
1962,3592,2015-06-08,7.803532318,tropical fruit,1,205.0
3900,10811,2015-12-20,23.410596954,tropical fruit,3,10.0
4704,13886,2015-08-21,15.607064636,tropical fruit,2,131.0
1737,2694,2015-05-15,23.410596954,tropical fruit,3,0.0
4191,11886,2015-11-03,15.607064636,tropical fruit,2,57.0
1722,2631,2015-07-13,7.803532318,tropical fruit,1,45.0
1438,1595,2015-10-19,23.410596954,tropical fruit,3,40.0
2751,6531,2015-02-03,23.410596954,tropical fruit,3,330.0
3188,8158,2015-12-06,7.803532318,tropical fruit,1,24.0
2785,6664,2015-10-18,15.607064636,tropical fruit,2,73.0
2648,6139,2015-07-10,7.803532318,tropical fruit,1,121.0
4975,14889,2015-05-08,23.410596954,tropical fruit,3,178.0
1245,898,2015-10-08,15.607064636,tropical fruit,2,57.0
3829,10544,2015-06-25,23.410596954,tropical fruit,3,15.0
2049,3918,2015-10-07,7.803532318,tropical fruit,1,84.0
2355,5048,2015-07-24,15.607064636,tropical fruit,2,159.0
2844,6882,2015-05-21,7.803532318,tropical fruit,1,223.0
2280,4775,2015-01-11,7.803532318,tropical fruit,1,353.0
1930,3467,2015-03-01,23.410596954,tropical fruit,3,48.0
1518,1907,2015-06-21,23.410596954,tropical fruit,3,78.0
3204,8211,2015-02-20,7.803532318,tropical fruit,1,5.0
2009,3753,2015-10-11,7.803532318,tropical fruit,1,80.0
3574,9578,2015-06-13,15.607064636,tropical fruit,2,7.0
4321,12422,2015-01-29,23.410596954,tropical fruit,3,99.0
4056,11357,2015-10-20,23.410596954,tropical fruit,3,71.0
1850,3147,2015-01-11,23.410596954,tropical fruit,3,37.0
4719,13939,2015-06-01,15.607064636,tropical fruit,2,82.0
2643,6119,2015-04-21,23.410596954,tropical fruit,3,201.0
3289,8520,2015-03-01,23.410596954,tropical fruit,3,14.0
2346,5012,2015-04-24,7.803532318,tropical fruit,1,103.0
4536,13225,2015-04-06,7.803532318,tropical fruit,1,160.0
3451,9082,2015-04-26,7.803532318,tropical fruit,1,127.0
4201,11928,2015-10-14,23.410596954,tropical fruit,3,77.0
3716,10111,2015-11-10,23.410596954,tropical fruit,3,50.0
3898,10801,2015-08-21,23.410596954,tropical fruit,3,131.0
1651,2388,2015-05-06,23.410596954,tropical fruit,3,83.0
3489,9240,2015-03-09,7.803532318,tropical fruit,1,176.0
1212,771,2015-06-19,15.607064636,tropical fruit,2,42.0
2080,4045,2015-04-21,7.803532318,tropical fruit,1,253.0
3291,8528,2015-08-02,23.410596954,tropical fruit,3,150.0
4932,14721,2015-11-20,15.607064636,tropical fruit,2,40.0
1044,159,2015-02-09,7.803532318,tropical fruit,1,258.0
1145,533,2015-10-07,23.410596954,tropical fruit,3,84.0
4958,14831,2015-05-24,15.607064636,tropical fruit,2,48.0
1463,1679,2015-09-28,7.803532318,tropical fruit,1,87.0
4150,11724,2015-08-26,23.410596954,tropical fruit,3,126.0
1775,2847,2015-10-11,7.803532318,tropical fruit,1,80.0
3879,10740,2015-06-25,23.410596954,tropical fruit,3,161.0
4619,13527,2015-05-27,23.410596954,tropical fruit,3,20.0
1281,1017,2015-02-11,23.410596954,tropical fruit,3,111.0
2925,7172,2015-08-22,23.410596954,tropical fruit,3,111.0
3031,7562,2015-10-27,23.410596954,tropical fruit,3,29.0
4312,12380,2015-04-22,7.803532318,tropical fruit,1,180.0
1982,3656,2015-02-24,7.803532318,tropical fruit,1,293.0
2249,4652,2015-01-22,23.410596954,tropical fruit,3,127.0
1538,1973,2015-11-30,15.607064636,tropical fruit,2,30.0
4734,13997,2015-11-22,23.410596954,tropical fruit,3,38.0
3443,9057,2015-04-04,15.607064636,tropical fruit,2,14.0
3180,8122,2015-05-04,23.410596954,tropical fruit,3,0.0
4826,14353,2015-01-25,23.410596954,tropical fruit,3,3.0
4567,13340,2015-09-10,23.410596954,tropical fruit,3,22.0
4806,14273,2015-11-24,15.607064636,tropical fruit,2,36.0
1476,1734,2015-03-29,23.410596954,tropical fruit,3,150.0
2216,4526,2015-11-17,23.410596954,tropical fruit,3,43.0
2955,7285,2015-06-06,7.803532318,tropical fruit,1,207.0
1914,3402,2015-01-21,15.607064636,tropical fruit,2,134.0
2293,4821,2015-12-19,23.410596954,tropical fruit,3,11.0
3868,10700,2015-01-22,7.803532318,tropical fruit,1,209.0
4510,13128,2015-04-05,15.607064636,tropical fruit,2,0.0
2893,7060,2015-10-06,15.607064636,tropical fruit,2,67.0
1651,2390,2015-12-17,7.803532318,tropical fruit,1,13.0
3663,9915,2015-11-07,7.803532318,tropical fruit,1,13.0
4214,11974,2015-06-09,23.410596954,tropical fruit,3,120.0
4461,12943,2015-02-13,7.803532318,tropical fruit,1,320.0
1366,1334,2015-05-29,7.803532318,tropical fruit,1,0.0
1792,2922,2015-08-15,15.607064636,tropical fruit,2,137.0
2811,6775,2015-02-23,23.410596954,tropical fruit,3,310.0
4004,11185,2015-05-10,15.607064636,tropical fruit,2,234.0
1934,3490,2015-08-06,15.607064636,tropical fruit,2,146.0
1098,351,2015-08-05,15.607064636,tropical fruit,2,53.0
3228,8306,2015-01-26,15.607064636,tropical fruit,2,338.0
2043,3890,2015-04-21,23.410596954,tropical fruit,3,253.0
4953,14814,2015-10-10,7.803532318,tropical fruit,1,81.0
2944,7242,2015-02-01,7.803532318,tropical fruit,1,332.0
2081,4048,2015-01-22,23.410596954,tropical fruit,3,342.0
1934,3487,2015-02-03,23.410596954,tropical fruit,3,0.0
4686,13806,2015-09-14,7.803532318,tropical fruit,1,24.0
3788,10402,2015-02-16,23.410596954,tropical fruit,3,317.0
1136,496,2015-01-03,7.803532318,tropical fruit,1,0.0
1677,2482,2015-12-09,23.410596954,tropical fruit,3,21.0
3459,9108,2015-01-23,7.803532318,tropical fruit,1,194.0
1422,1533,2015-01-01,15.607064636,tropical fruit,2,58.0
1542,1984,2015-05-15,7.803532318,tropical fruit,1,84.0
4990,14930,2015-12-14,23.410596954,tropical fruit,3,16.0
1451,1640,2015-01-27,7.803532318,tropical fruit,1,337.0
1524,1927,2015-03-05,15.607064636,tropical fruit,2,154.0
3484,9215,2015-05-15,23.410596954,tropical fruit,3,21.0
3966,11065,2015-01-11,7.803532318,tropical fruit,1,141.0
2023,3813,2015-02-07,15.607064636,tropical fruit,2,205.0
4785,14193,2015-04-04,15.607064636,tropical fruit,2,162.0
1012,49,2015-11-19,15.607064636,tropical fruit,2,41.0
3547,9471,2015-10-21,23.410596954,tropical fruit,3,0.0
2678,6246,2015-03-20,7.803532318,tropical fruit,1,15.0
3289,8524,2015-08-09,15.607064636,tropical fruit,2,0.0
2061,3963,2015-12-27,7.803532318,tropical fruit,1,3.0
4009,11202,2015-07-14,7.803532318,tropical fruit,1,169.0
4172,11813,2015-02-18,7.803532318,tropical fruit,1,232.0
2768,6601,2015-01-01,15.607064636,tropical fruit,2,363.0
1696,2547,2015-10-04,15.607064636,tropical fruit,2,87.0
4302,12338,2015-03-08,15.607064636,tropical fruit,2,0.0
3614,9746,2015-04-28,7.803532318,tropical fruit,1,246.0
4936,14739,2015-03-15,15.607064636,tropical fruit,2,290.0
4244,12103,2015-10-31,15.607064636,tropical fruit,2,60.0
3562,9537,2015-03-18,7.803532318,tropical fruit,1,148.0
3315,8625,2015-11-19,7.803532318,tropical fruit,1,41.0
2073,4020,2015-05-14,23.410596954,tropical fruit,3,35.0
3749,10241,2015-03-09,23.410596954,tropical fruit,3,296.0
2078,4038,2015-10-16,23.410596954,tropical fruit,3,75.0
4505,13107,2015-04-17,7.803532318,tropical fruit,1,257.0
2190,4432,2015-05-14,7.803532318,tropical fruit,1,150.0
4001,11173,2015-06-21,15.607064636,tropical fruit,2,192.0
1939,3509,2015-07-15,23.410596954,tropical fruit,3,107.0
4296,12309,2015-07-28,7.803532318,tropical fruit,1,29.0
1927,3453,2015-05-15,7.803532318,tropical fruit,1,229.0
4756,14087,2015-09-18,23.410596954,tropical fruit,3,103.0
4935,14737,2015-04-02,7.803532318,tropical fruit,1,272.0
2167,4353,2015-10-18,15.607064636,tropical fruit,2,51.0
3045,7619,2015-03-26,15.607064636,tropical fruit,2,279.0
2544,5743,2015-01-20,7.803532318,tropical fruit,1,9.0
2398,5207,2015-01-08,7.803532318,tropical fruit,1,356.0
2807,6758,2015-07-03,15.607064636,tropical fruit,2,180.0
3346,8726,2015-05-11,7.803532318,tropical fruit,1,233.0
1081,289,2015-01-21,23.410596954,tropical fruit,3,44.0
4228,12042,2015-04-18,7.803532318,tropical fruit,1,256.0
3356,8767,2015-05-23,7.803532318,tropical fruit,1,221.0
3054,7659,2015-05-27,7.803532318,tropical fruit,1,32.0
4555,13293,2015-07-23,7.803532318,tropical fruit,1,107.0
2905,7093,2015-10-22,23.410596954,tropical fruit,3,69.0
1838,3104,2015-03-25,15.607064636,tropical fruit,2,280.0
1051,185,2015-10-12,15.607064636,tropical fruit,2,29.0
1564,2048,2015-06-19,7.803532318,tropical fruit,1,126.0
3593,9664,2015-05-27,23.410596954,tropical fruit,3,92.0
1876,3244,2015-06-16,15.607064636,tropical fruit,2,197.0
1062,229,2015-04-16,7.803532318,tropical fruit,1,155.0
2643,6121,2015-12-01,7.803532318,tropical fruit,1,29.0
3927,10922,2015-09-03,23.410596954,tropical fruit,3,97.0
2255,4678,2015-05-01,7.803532318,tropical fruit,1,231.0
2487,5532,2015-03-27,7.803532318,tropical fruit,1,104.0
2321,4922,2015-06-16,7.803532318,tropical fruit,1,197.0
1406,1469,2015-12-28,7.803532318,tropical fruit,1,2.0
1008,32,2015-07-21,15.607064636,tropical fruit,2,74.0
1777,2856,2015-04-22,7.803532318,tropical fruit,1,77.0
3959,11034,2015-10-05,7.803532318,tropical fruit,1,86.0
2580,5885,2015-10-24,23.410596954,tropical fruit,3,24.0
4825,14347,2015-06-09,7.803532318,tropical fruit,1,88.0
3419,8976,2015-07-25,15.607064636,tropical fruit,2,26.0
4773,14146,2015-11-09,7.803532318,tropical fruit,1,51.0
3250,8381,2015-04-12,7.803532318,tropical fruit,1,262.0
4906,14640,2015-09-16,15.607064636,tropical fruit,2,14.0
4178,11832,2015-11-13,7.803532318,tropical fruit,1,47.0
1130,475,2015-01-15,15.607064636,tropical fruit,2,246.0
2716,6402,2015-09-10,15.607064636,tropical fruit,2,13.0
4503,13097,2015-12-19,7.803532318,tropical fruit,1,11.0
2745,6504,2015-04-08,23.410596954,tropical fruit,3,13.0
1002,12,2015-04-26,15.607064636,tropical fruit,2,126.0
2659,6179,2015-06-15,7.803532318,tropical fruit,1,176.0
1077,281,2015-09-12,7.803532318,tropical fruit,1,109.0
4113,11574,2015-07-19,15.607064636,tropical fruit,2,25.0
3002,7455,2015-02-19,7.803532318,tropical fruit,1,175.0
1863,3193,2015-02-11,23.410596954,tropical fruit,3,174.0
4875,14546,2015-10-03,15.607064636,tropical fruit,2,23.0
3134,7954,2015-06-07,7.803532318,tropical fruit,1,206.0
4882,14570,2015-10-31,7.803532318,tropical fruit,1,60.0
4122,11610,2015-04-24,23.410596954,tropical fruit,3,42.0
1566,2064,2015-11-19,7.803532318,tropical fruit,1,41.0
3284,8503,2015-01-28,7.803532318,tropical fruit,1,295.0
2108,4142,2015-08-11,23.410596954,tropical fruit,3,51.0
4105,11537,2015-05-29,7.803532318,tropical fruit,1,188.0
2695,6316,2015-07-04,23.410596954,tropical fruit,3,179.0
1264,954,2015-12-07,23.410596954,tropical fruit,3,23.0
3835,10571,2015-01-06,7.803532318,tropical fruit,1,125.0
1872,3233,2015-04-05,15.607064636,tropical fruit,2,141.0
2262,4705,2015-10-04,15.607064636,tropical fruit,2,31.0
3144,8001,2015-08-16,23.410596954,tropical fruit,3,136.0
4997,14952,2015-12-27,15.607064636,tropical fruit,2,3.0
3685,10006,2015-03-04,23.410596954,tropical fruit,3,175.0
3794,10427,2015-11-26,23.410596954,tropical fruit,3,34.0
2440,5363,2015-03-02,23.410596954,tropical fruit,3,0.0
2370,5108,2015-08-28,15.607064636,tropical fruit,2,15.0
1296,1080,2015-08-20,23.410596954,tropical fruit,3,78.0
4220,12005,2015-08-10,23.410596954,tropical fruit,3,11.0
1291,1060,2015-01-14,23.410596954,tropical fruit,3,51.0
2985,7395,2015-01-05,7.803532318,tropical fruit,1,144.0
1097,346,2015-11-01,15.607064636,tropical fruit,2,59.0
3986,11137,2015-07-25,23.410596954,tropical fruit,3,116.0
1993,3691,2015-07-08,15.607064636,tropical fruit,2,175.0
4427,12811,2015-01-14,15.607064636,tropical fruit,2,17.0
3656,9882,2015-03-11,23.410596954,tropical fruit,3,294.0
1218,794,2015-12-29,23.410596954,tropical fruit,3,1.0
3460,9110,2015-02-14,23.410596954,tropical fruit,3,160.0
4107,11547,2015-11-15,23.410596954,tropical fruit,3,45.0
1040,148,2015-11-26,15.607064636,tropical fruit,2,34.0
3909,10845,2015-02-09,7.803532318,tropical fruit,1,324.0
1608,2220,2015-11-10,7.803532318,tropical fruit,1,3.0
2083,4056,2015-11-07,7.803532318,tropical fruit,1,53.0
3937,10954,2015-11-19,23.410596954,tropical fruit,3,41.0
1697,2550,2015-02-23,23.410596954,tropical fruit,3,87.0
1663,2448,2015-11-11,23.410596954,tropical fruit,3,49.0
4049,11340,2015-08-01,23.410596954,tropical fruit,3,151.0
4038,11302,2015-11-06,7.803532318,tropical fruit,1,54.0
3207,8227,2015-08-08,15.607064636,tropical fruit,2,110.0
3214,8249,2015-01-14,23.410596954,tropical fruit,3,72.0
2772,6617,2015-03-18,15.607064636,tropical fruit,2,261.0
2270,4726,2015-02-04,23.410596954,tropical fruit,3,0.0
2517,5644,2015-12-12,7.803532318,tropical fruit,1,18.0
4749,14064,2015-02-15,15.607064636,tropical fruit,2,318.0
3147,8009,2015-12-24,15.607064636,tropical fruit,2,6.0
3183,8139,2015-08-07,23.410596954,tropical fruit,3,145.0
1821,3039,2015-05-21,7.803532318,tropical fruit,1,223.0
4337,12489,2015-10-26,15.607064636,tropical fruit,2,65.0
2706,6361,2015-10-03,7.803532318,tropical fruit,1,88.0
4007,11193,2015-03-13,7.803532318,tropical fruit,1,285.0
2108,4143,2015-10-01,7.803532318,tropical fruit,1,90.0
1342,1246,2015-01-07,23.410596954,tropical fruit,3,43.0
1218,793,2015-08-20,15.607064636,tropical fruit,2,131.0
4238,12080,2015-12-12,7.803532318,tropical fruit,1,18.0
1620,2276,2015-03-22,23.410596954,tropical fruit,3,151.0
2480,5512,2015-03-26,7.803532318,tropical fruit,1,141.0
2604,5985,2015-09-20,15.607064636,tropical fruit,2,101.0
1930,3469,2015-11-15,7.803532318,tropical fruit,1,45.0
3139,7977,2015-04-21,7.803532318,tropical fruit,1,253.0
3848,10625,2015-11-18,7.803532318,tropical fruit,1,42.0
2162,4329,2015-06-19,23.410596954,tropical fruit,3,194.0
3971,11081,2015-06-17,15.607064636,tropical fruit,2,124.0
1554,2025,2015-05-21,7.803532318,tropical fruit,1,223.0
4999,14956,2015-01-24,15.607064636,tropical fruit,2,25.0
4804,14267,2015-12-27,7.803532318,tropical fruit,1,3.0
2565,5832,2015-04-29,7.803532318,tropical fruit,1,152.0
1783,2885,2015-03-18,15.607064636,tropical fruit,2,111.0
1396,1445,2015-07-22,7.803532318,tropical fruit,1,161.0
4633,13578,2015-04-26,7.803532318,tropical fruit,1,113.0
4821,14332,2015-11-28,15.607064636,tropical fruit,2,32.0
1599,2184,2015-05-29,7.803532318,tropical fruit,1,137.0
2933,7198,2015-04-06,7.803532318,tropical fruit,1,268.0
1139,508,2015-01-19,23.410596954,tropical fruit,3,345.0
2273,4752,2015-10-21,7.803532318,tropical fruit,1,5.0
2885,7040,2015-03-22,23.410596954,tropical fruit,3,54.0
1887,3290,2015-02-03,7.803532318,tropical fruit,1,0.0
4645,13625,2015-12-06,7.803532318,tropical fruit,1,23.0
4717,13931,2015-04-10,23.410596954,tropical fruit,3,23.0
4302,12340,2015-08-03,15.607064636,tropical fruit,2,0.0
1656,2416,2015-07-07,7.803532318,tropical fruit,1,37.0
3201,8200,2015-11-27,23.410596954,tropical fruit,3,33.0
4695,13855,2015-10-13,7.803532318,tropical fruit,1,78.0
2415,5268,2015-04-29,7.803532318,tropical fruit,1,101.0
1943,3524,2015-09-30,15.607064636,tropical fruit,2,91.0
4107,11546,2015-02-05,15.607064636,tropical fruit,2,283.0
2087,4072,2015-04-09,7.803532318,tropical fruit,1,265.0
3474,9175,2015-04-07,7.803532318,tropical fruit,1,140.0
2887,7046,2015-01-17,7.803532318,tropical fruit,1,347.0
1551,2011,2015-06-11,7.803532318,tropical fruit,1,40.0
4326,12446,2015-05-02,15.607064636,tropical fruit,2,150.0
3463,9128,2015-09-24,23.410596954,tropical fruit,3,97.0
2528,5690,2015-10-19,23.410596954,tropical fruit,3,72.0
1959,3580,2015-05-15,23.410596954,tropical fruit,3,0.0
4406,12743,2015-05-27,23.410596954,tropical fruit,3,217.0
2202,4478,2015-05-28,7.803532318,tropical fruit,1,27.0
4529,13201,2015-05-10,15.607064636,tropical fruit,2,14.0
2902,7083,2015-06-12,15.607064636,tropical fruit,2,65.0
1631,2318,2015-08-14,7.803532318,tropical fruit,1,138.0
2876,7010,2015-09-19,15.607064636,tropical fruit,2,41.0
4848,14437,2015-07-07,7.803532318,tropical fruit,1,99.0
3133,7952,2015-12-01,7.803532318,tropical fruit,1,24.0
1918,3415,2015-09-29,15.607064636,tropical fruit,2,92.0
1309,1128,2015-04-01,15.607064636,tropical fruit,2,273.0
3416,8969,2015-02-07,23.410596954,tropical fruit,3,150.0
1009,35,2015-05-14,15.607064636,tropical fruit,2,132.0
1782,2879,2015-09-13,23.410596954,tropical fruit,3,27.0
1094,335,2015-05-16,23.410596954,tropical fruit,3,115.0
4895,14608,2015-06-01,7.803532318,tropical fruit,1,50.0
