member_number,Recency,Frequency,Monetary
1000,110.8,5,53.8
1001,138.2,5,100.0
1002,172.25,4,70.31
1003,177.5,4,60.65
1004,86.75,8,204.97
1005,360.0,2,24.0
1006,157.5,4,182.94
1008,81.0,2,155.91
1009,176.25,4,48.76
1010,133.0,5,89.36
1011,227.66666666666666,3,89.8
1012,139.0,4,75.87
1013,89.0,8,186.76
1014,120.5,4,75.1
1015,183.33333333333334,3,71.4
1016,62.75,4,104.7
1017,135.4,5,75.49
1018,156.0,4,94.6
1019,385.0,1,73.5
1020,176.33333333333334,3,73.84
1021,193.0,3,53.4
1022,225.33333333333334,3,117.5
1023,98.66666666666667,6,182.0
1024,142.0,1,58.21
1025,230.66666666666666,3,42.62
1026,132.4,5,117.35
1027,148.75,4,129.7
1028,126.8,5,107.6
1029,291.0,1,16.35
1031,222.0,3,64.6
1032,140.6,5,96.46
1033,133.6,5,91.31
1034,224.66666666666666,3,83.05
1035,110.6,5,69.9
1036,709.0,1,10.8
1037,224.66666666666666,3,58.45
1038,116.83333333333333,6,214.2
1039,213.0,1,2.7
1040,141.0,4,48.11
1041,141.25,4,113.75
1042,107.0,3,35.75
1043,218.66666666666666,3,94.7
1044,162.0,2,25.4
1045,239.0,3,103.3
1046,97.5,2,16.7
1047,126.0,3,51.6
1048,42.5,2,23.8
1049,180.5,4,62.3
1050,113.83333333333333,6,124.6
1051,119.33333333333333,6,207.37
1052,72.5,10,271.9
1053,101.5,6,80.7
1054,178.25,4,43.9
1055,256.0,2,75.7
1056,154.0,3,58.2
1057,241.0,3,32.15
1058,146.25,4,38.9
1059,283.5,2,16.8
1061,130.6,5,149.11
1062,140.6,5,129.32
1063,285.5,2,8.1
1064,206.0,3,59.1
1065,119.16666666666667,6,225.42
1066,232.33333333333334,3,19.92
1067,100.0,3,112.31
1068,331.0,2,20.7
1069,177.25,4,90.46
1070,314.5,2,66.4
1071,460.0,1,17.1
1072,277.5,2,50.7
1073,162.25,4,109.8
1074,140.0,5,71.96
1075,139.75,4,80.3
1076,92.75,4,87.9
1077,88.5,6,50.9
1078,244.5,2,50.0
1079,224.5,2,89.1
1080,211.5,2,17.8
1081,137.4,5,138.62
1082,325.0,2,65.8
1083,177.66666666666666,3,102.7
1084,621.0,1,7.6
1085,205.0,3,31.74
1086,104.2,5,94.4
1087,74.66666666666667,9,193.82
1088,116.66666666666667,3,58.76
1089,390.0,1,9.3
1090,40.333333333333336,3,219.2
1092,77.0,5,104.31
1093,277.0,1,3.65
1094,82.375,8,149.81
1095,215.0,3,57.76
1096,155.0,1,15.3
1097,103.83333333333333,6,106.49
1098,96.14285714285714,7,267.63
1099,176.66666666666666,3,39.7
1100,226.0,3,88.3
1101,159.66666666666666,3,52.0
1102,171.0,4,73.7
1103,146.0,4,87.1
1104,150.0,4,40.25
1105,282.0,2,34.81
1107,74.25,8,129.38
1108,146.75,4,94.06
1109,111.8,5,93.9
1110,82.71428571428571,7,155.9
1111,166.75,4,53.3
1112,265.0,1,26.36
1113,180.5,4,74.65
1114,102.33333333333333,6,121.12
1115,129.25,4,68.5
1116,83.0,8,157.4
1117,220.0,1,34.6
1118,111.33333333333333,6,173.4
1119,329.0,1,22.4
1120,82.66666666666667,6,144.4
1121,655.0,1,30.62
1122,153.66666666666666,3,33.0
1123,127.0,4,73.6
1124,332.5,2,15.9
1125,115.8,5,67.56
1126,141.0,3,124.2
1127,173.0,4,85.16
1128,160.75,4,67.25
1129,140.8,5,179.64
1130,124.75,4,94.96
1132,134.33333333333334,3,25.44
1133,129.8,5,148.94
1134,226.66666666666666,3,48.4
1135,103.0,3,43.37
1136,67.44444444444444,9,209.08
1137,296.5,2,17.6
1138,180.33333333333334,3,53.3
1139,178.5,4,72.81
1140,121.5,2,66.7
1141,157.75,4,80.8
1142,146.75,4,81.0
1143,106.8,5,54.5
1144,90.14285714285714,7,133.25
1145,191.0,3,34.61
1146,99.85714285714286,7,157.52
1147,222.0,3,49.2
1148,116.33333333333333,6,118.76
1149,73.0,2,34.6
1150,122.0,4,54.4
1151,191.5,2,68.8
1152,92.25,4,83.05
1153,107.0,6,101.5
1154,198.0,3,35.2
1155,91.0,3,89.3
1156,108.0,1,24.0
1157,324.5,2,136.91
1158,169.75,4,49.1
1159,233.66666666666666,3,25.45
1160,115.66666666666667,6,118.51
1161,351.5,2,78.3
1162,142.2,5,113.5
1163,219.66666666666666,3,54.1
1164,166.0,2,31.1
1165,159.5,4,136.2
1166,340.5,2,29.11
1167,212.0,2,23.5
1168,141.66666666666666,3,86.6
1169,80.55555555555556,9,284.8
1170,83.85714285714286,7,184.44
1171,133.8,5,75.3
1173,155.25,4,36.5
1174,104.4,5,59.9
1175,145.4,5,222.36
1176,100.0,6,96.66
1177,77.0,1,10.45
1178,140.75,4,114.25
1179,285.0,2,112.6
1180,348.0,2,9.9
1181,178.33333333333334,3,38.2
1182,93.0,6,199.82
1183,120.0,3,97.6
1184,277.0,2,43.5
1185,125.75,4,108.9
1186,172.25,4,51.83
1187,190.0,3,14.77
1188,181.33333333333334,3,69.7
1189,337.5,2,30.56
1190,76.875,8,161.1
1191,330.0,2,100.6
1192,184.0,2,28.4
1193,341.0,2,22.56
1194,237.66666666666666,3,73.2
1195,167.66666666666666,3,64.06
1196,236.33333333333334,3,34.42
1197,108.5,6,153.6
1198,216.0,3,167.9
1199,161.75,4,57.5
1200,223.66666666666666,3,26.05
1201,216.0,2,34.8
1202,154.5,4,61.6
1204,102.42857142857143,7,142.1
1205,203.0,3,69.1
1206,231.66666666666666,3,96.61
1207,203.66666666666666,3,62.06
1208,102.8,5,171.47
1209,166.25,4,121.29
1211,69.33333333333333,6,107.76
1212,146.0,4,68.41
1213,108.66666666666667,3,123.7
1214,270.0,2,58.9
1215,203.66666666666666,3,76.71
1216,172.75,4,183.21
1217,175.66666666666666,3,68.6
1218,85.85714285714286,7,198.72
1219,272.5,2,32.6
1220,81.8,5,186.05
1221,410.0,1,1.7
1222,72.5,2,16.8
1223,120.25,4,61.6
1224,243.0,2,83.3
1225,95.28571428571429,7,130.6
1226,130.5,2,84.55
1227,601.0,1,7.7
1228,310.0,1,16.6
1229,174.0,3,146.4
1230,109.0,6,67.65
1231,65.28571428571429,7,156.0
1232,169.66666666666666,3,33.0
1233,105.33333333333333,6,98.36
1234,163.5,4,74.44
1235,72.875,8,156.98
1236,275.5,2,40.6
1237,100.57142857142857,7,160.81
1238,304.0,1,27.0
1239,88.71428571428571,7,139.01
1240,177.66666666666666,3,61.14
1241,181.5,4,156.22
1242,63.166666666666664,6,125.11
1243,721.0,1,6.0
1244,159.66666666666666,3,39.02
1245,76.57142857142857,7,168.52
