member_number,productId,items,order_date,orderId
1808,1,3,2015-07-21,2987
2552,2,1,2015-01-05,5783
2300,3,3,2015-09-19,4851
1187,4,3,2015-12-12,687
3037,2,1,2015-02-01,7584
4941,5,1,2015-02-14,14769
4501,4,3,2015-05-08,13087
3803,6,2,2015-12-23,10456
2762,2,3,2015-03-20,6578
4119,1,3,2015-02-12,11595
1340,7,3,2015-02-24,1236
2193,8,3,2015-04-14,4448
1997,9,1,2015-07-21,3706
4546,10,3,2015-09-03,13263
4736,11,2,2015-07-21,14006
1959,12,1,2015-03-30,3579
1974,13,2,2015-05-03,3632
2421,14,2,2015-09-02,5283
1513,15,2,2015-08-03,1888
1905,4,2,2015-07-07,3369
2810,16,1,2015-09-08,6767
2867,2,1,2015-11-12,6968
3962,1,2,2015-09-18,11049
1088,1,2,2015-11-30,318
4976,17,1,2015-07-17,14892
4056,18,1,2015-06-12,11355
3611,19,1,2015-02-13,9731
1420,4,3,2015-01-14,1524
4286,20,3,2015-03-08,12262
4918,18,3,2015-01-27,14677
4783,21,2,2015-10-22,14187
3709,22,3,2015-10-26,10090
4289,23,2,2015-10-08,12274
1559,8,2,2015-10-03,2032
2900,24,3,2015-04-11,7077
1905,12,2,2015-02-21,3367
3527,25,3,2015-09-29,9398
1495,22,3,2015-01-09,1820
3558,7,1,2015-04-03,9516
3128,19,3,2015-04-20,7934
1863,1,1,2015-08-04,3194
3841,26,3,2015-07-19,10594
3903,25,3,2015-10-06,10822
2658,16,1,2015-10-16,6175
4272,27,1,2015-06-06,12213
1120,24,3,2015-09-26,441
2676,5,2,2015-08-15,6242
1697,28,1,2015-05-21,2551
2507,22,2,2015-08-25,5594
4620,19,2,2015-03-11,13531
3365,25,2,2015-02-01,8804
2978,29,1,2015-06-05,7370
2910,30,2,2015-07-28,7117
1061,2,1,2015-09-05,225
3276,2,2,2015-04-03,8473
1326,13,3,2015-06-19,1178
3023,5,3,2015-07-28,7531
2185,29,1,2015-10-11,4418
3552,5,3,2015-06-16,9497
1967,4,3,2015-01-20,3609
4708,19,2,2015-03-20,13898
2874,19,1,2015-02-15,7002
4177,9,2,2015-04-13,11824
1663,5,2,2015-02-07,2446
2632,2,2,2015-03-02,6085
1377,31,2,2015-03-14,1366
4162,32,2,2015-12-22,11770
2270,19,2,2015-07-01,4728
4829,1,2,2015-11-03,14367
3811,32,1,2015-04-14,10483
4766,2,3,2015-09-29,14123
2436,9,2,2015-04-12,5345
3860,2,2,2015-05-05,10669
4875,33,2,2015-05-12,14542
1587,4,2,2015-07-01,2143
4038,7,2,2015-07-08,11301
4750,34,2,2015-09-21,14068
1199,35,3,2015-12-10,728
1603,36,3,2015-09-30,2200
3111,14,2,2015-01-31,7866
3894,22,3,2015-12-13,10785
1456,22,1,2015-09-18,1658
2022,37,2,2015-03-04,3809
2505,17,1,2015-11-30,5587
4851,19,1,2015-12-20,14448
4293,27,2,2015-08-04,12295
2775,23,3,2015-11-06,6626
3693,26,1,2015-02-18,10037
1202,38,2,2015-07-22,737
3699,26,1,2015-08-23,10060
4152,12,1,2015-04-15,11728
4155,7,1,2015-01-26,11746
4010,23,1,2015-12-29,11204
4389,39,3,2015-10-20,12682
3746,40,1,2015-08-17,10230
2560,19,1,2015-05-17,5810
1503,10,1,2015-07-25,1848
2555,2,3,2015-12-23,5796
3645,7,1,2015-12-12,9847
3886,38,1,2015-09-11,10759
2932,19,3,2015-03-20,7196
1711,9,3,2015-06-18,2597
4291,19,3,2015-12-08,12282
1143,38,1,2015-04-25,523
4564,5,3,2015-07-08,13327
3337,8,3,2015-05-14,8698
4931,2,1,2015-05-04,14715
2623,41,3,2015-10-10,6051
4581,1,1,2015-04-03,13391
2635,9,2,2015-06-11,6097
1095,13,3,2015-10-30,339
2990,2,2,2015-05-23,7413
2426,26,1,2015-06-05,5300
4555,7,3,2015-11-07,13294
3635,1,1,2015-09-04,9813
3058,21,2,2015-05-18,7667
4391,21,1,2015-03-26,12691
1306,2,3,2015-06-23,1113
1024,42,3,2015-08-10,94
1295,9,2,2015-07-23,1076
1661,13,1,2015-06-01,2441
4591,24,3,2015-05-15,13424
3169,4,2,2015-06-14,8084
3915,28,3,2015-05-21,10873
1127,9,3,2015-01-14,462
